dcode,dname,district_group,budget_year,inspec_period,pump_number,pump_ready,pump_repair,pump_sell,pump_support,total_ready
1030,เขตจตุจักร,กรุงเทพเหนือ,2566,1,15,15,0,0,2,15
1029,เขตบางซื่อ,กรุงเทพเหนือ,2566,1,13,9,4,0,6,13
1038,เขตลาดพร้าว,กรุงเทพเหนือ,2566,1,23,23,0,0,12,23
1041,เขตหลักสี่,กรุงเทพเหนือ,2566,1,15,5,0,10,8,13
1036,เขตดอนเมือง,กรุงเทพเหนือ,2566,1,14,12,0,2,8,14
1042,เขตสายไหม,กรุงเทพเหนือ,2566,1,16,15,1,0,10,16
1005,เขตบางเขน,กรุงเทพเหนือ,2566,1,19,16,3,0,3,19
1046,เขตคลองสามวา,กรุงเทพตะวันออก,2566,1,20,12,1,0,7,20
1010,เขตมีนบุรี,กรุงเทพตะวันออก,2566,1,31,16,0,0,15,31
1027,เขตบึงกุ่ม,กรุงเทพตะวันออก,2566,1,16,15,1,0,0,15
1043,เขตคันนายาว,กรุงเทพตะวันออก,2566,1,16,10,0,1,5,15
1006,เขตบางกะปิ,กรุงเทพตะวันออก,2566,1,20,17,0,0,3,20
1003,เขตหนองจอก,กรุงเทพตะวันออก,2566,1,13,7,0,1,5,12
1011,เขตลาดกระบัง,กรุงเทพตะวันออก,2566,1,36,31,5,0,28,36
1032,เขตประเวศ,กรุงเทพตะวันออก,2566,1,18,18,0,0,0,18
1044,เขตสะพานสูง,กรุงเทพตะวันออก,2566,1,30,21,0,4,5,26
1034,เขตสวนหลวง,กรุงเทพใต้,2566,1,18,16,2,0,12,18
1033,เขตคลองเตย,กรุงเทพใต้,2566,1,30,28,1,1,0,28
1039,เขตวัฒนา,กรุงเทพใต้,2566,1,4,4,0,0,0,4
1004,เขตบางรัก,กรุงเทพใต้,2566,1,8,8,0,0,0,8
1047,เขตบางนา,กรุงเทพใต้,2566,1,9,9,0,0,5,9
1007,เขตปทุมวัน,กรุงเทพใต้,2566,1,1,0,1,0,0,1
1009,เขตพระโขนง,กรุงเทพใต้,2566,1,8,6,0,2,0,4
1028,เขตสาทร,กรุงเทพใต้,2566,1,4,4,0,0,5,4
1031,เขตบางคอแหลม,กรุงเทพใต้,2566,1,1,0,1,0,1,1
1012,เขตยานนาวา,กรุงเทพใต้,2566,1,1,1,0,0,1,1
1026,เขตดินแดง,กรุงเทพกลาง,2566,1,2,2,0,0,0,2
1037,เขตราชเทวี,กรุงเทพกลาง,2566,1,1,0,0,0,1,1
1017,เขตห้วยขวาง,กรุงเทพกลาง,2566,1,10,10,0,0,4,10
1045,เขตวังทองหลาง,กรุงเทพกลาง,2566,1,13,13,0,0,2,13
1001,เขตพระนคร,กรุงเทพกลาง,2566,1,4,2,2,0,0,4
1002,เขตดุสิต,กรุงเทพกลาง,2566,1,10,9,1,0,0,10
1008,เขตป้อมปราบศัตรูพ่าย,กรุงเทพกลาง,2566,1,2,2,0,0,0,2
1013,เขตสัมพันธวงศ์,กรุงเทพกลาง,2566,1,2,2,0,0,5,2
1014,เขตพญาไท,กรุงเทพกลาง,2566,1,7,7,0,0,0,7
1018,เขตคลองสาน,กรุงธนเหนือ,2566,1,14,8,0,4,2,10
1015,เขตธนบุรี,กรุงธนเหนือ,2566,1,18,13,5,0,0,18
1016,เขตบางกอกใหญ่,กรุงธนเหนือ,2566,1,15,11,0,4,4,15
1035,เขตจอมทอง,กรุงธนเหนือ,2566,1,12,12,0,0,0,12
1025,เขตบางพลัด,กรุงธนเหนือ,2566,1,8,5,0,1,2,7
1019,เขตตลิ่งชัน,กรุงธนเหนือ,2566,1,26,25,0,1,0,25
1020,เขตบางกอกน้อย,กรุงธนเหนือ,2566,1,3,1,1,0,1,3
1048,เขตทวีวัฒนา,กรุงธนเหนือ,2566,1,10,10,0,0,0,10
1049,เขตทุ่งครุ,กรุงธนใต้,2566,1,19,19,0,0,0,19
1024,เขตราษฏร์บูรณะ,กรุงธนใต้,2566,1,14,14,0,0,0,14
1021,เขตบางขุนเทียน,กรุงธนใต้,2566,1,19,19,0,0,0,19
1050,เขตบางบอน,กรุงธนใต้,2566,1,19,18,1,0,3,19
1023,เขตหนองแขม,กรุงธนใต้,2566,1,7,6,1,0,4,7
1040,เขตบางแค,กรุงธนใต้,2566,1,18,15,0,3,6,18
1022,เขตภาษีเจริญ,กรุงธนใต้,2566,1,15,14,1,0,0,15
