id_flood,location,dcode,scode,geometry
1,จุดอ่อนน้ำท่วมดอนเมืองอนุสรสถาน,1036,103605,POINT (100.619817 13.951273)
2,จุดอ่อนน้ำท่วมแจ้งวัฒนะ,1041,104105,POINT (100.56198 13.892282)
3,จุดอ่อนน้ำท่วมพหลโยธินแยกเกษตร,1030,103001,POINT (100.574228 13.839958)
4,จุดอ่อนน้ำท่วมลาดพร้าว บางกะปิ นวมินทร์,1006,100601,POINT (100.647912 13.766368)
5,ขุดอ่อนน้ำท่วมพหลโยธินสนามเป้า,1014,101401,POINT (100.540035 13.768058)
6,จุดอ่อนน้ำท่วมถนนเพชรบุรี จากรถไฟถึงอโศก,1037,103704,POINT (100.548437 13.749877)
7,จุดอ่อนน้ำท่วม ถนนทหาร พราะรามที่ 6  คลองสามเสน,1002,100206,POINT (100.52139 13.79725)
8,จุดอ่อนน้ำท่วมพระรามที่5 ผดุงกรุงเกษม คลองสามเสน,1002,100201,POINT (100.512395 13.76202)
9,จุดอ่อนน้ำท่วมรามคำแหง,1006,100608,POINT (100.640398 13.762115)
10,จุดออ่นน้ำทวม ถนนพระจันทร์ ถนนพระลาน,1001,100101,POINT (100.488878 13.752498)
11,จุดอ่อนน้ำท่วมถนนจันทร์ เซ็นหลุย สวนพลู,1028,102803,POINT (100.537123 13.722313)
12,จุดอ่อนน้ำท่วมถนนพระราม 1,1007,100703,POINT (100.531049 13.745892)
13,จุดอ่อนน้ำท่วมสุขุมวิท,1034,103401,POINT (100.606875 13.71314)
14,จุดอ่อนน้ำท่วมถนนสุขุมวิทศรีนครินทร์,1034,103401,POINT (100.644335 13.712404)
15,จุดอ่อนน้ำท่วม ตลิ่งชันฉิมพลีสวนผัก,1019,101902,POINT (100.439758 13.796104)
16,จุดอ่อนน้ำท่วมเพชรเกษม,1040,104002,POINT (100.422379 13.712329)
17,จุดอ่อนน้ำท่วมถนนบางบอน (เขตบางบอน),1050,10501,POINT (100.375412 13.643551)
18,จุดอ่อนน้ำท่วมถนนบางขุนเทียน (บางขุนเทียน),1021,102107,POINT (100.433282 13.653937)
19,จุดอ่อนน้ำท่วมถนนประชาอุทิศ (เขตทุ่งครุ),1049,104902,POINT (100.500287 13.641571)
20,จุดอ่อนน้ำท่วมถนนสุวินทวงศ์ (เขตมีนบุรี),1010,101001,POINT (100.735525 13.818659)
