Ranking,เขต,คะแนนรวม,จำนวนจุดเสี่ยง,คะแนน (จุดเสี่ยง),จำนวนจุดเฝ้าระวังน้ำท่วม,คะแนน (จุดเฝ้าระวัง),join_key,dcode,dname
1,ป้อมปราบศัตรูพ่าย,50.0,0,50,0,50,ป้อมปราบศัตรูพ่าย,1008,เขตป้อมปราบศัตรูพ่าย
2,บางกอกน้อย,47.5,0,50,1,45,บางกอกน้อย,1020,เขตบางกอกน้อย
2,บางรัก,47.5,0,50,1,45,บางรัก,1004,เขตบางรัก
2,ปทุมวัน,47.5,0,50,1,45,ปทุมวัน,1007,เขตปทุมวัน
2,พระนคร,47.5,0,50,1,45,พระนคร,1001,เขตพระนคร
6,คลองสาน,42.0,0,50,2,34,คลองสาน,1018,เขตคลองสาน
7,จอมทอง,41.0,1,37,1,45,จอมทอง,1035,เขตจอมทอง
7,ดอนเมือง,41.0,1,37,1,45,ดอนเมือง,1036,เขตดอนเมือง
7,ยานนาวา,41.0,1,37,1,45,ยานนาวา,1012,เขตยานนาวา
7,ราษฎร์บูรณะ,41.0,1,37,1,45,ราษฎร์บูรณะ,1024,เขตราษฏร์บูรณะ
11,ธนบุรี,39.5,0,50,3,29,ธนบุรี,1015,เขตธนบุรี
11,พญาไท,39.5,0,50,3,29,พญาไท,1014,เขตพญาไท
13,บางพลัด,39.0,2,28,0,50,บางพลัด,1025,เขตบางพลัด
14,บางกอกใหญ่,35.5,0,50,4,21,บางกอกใหญ่,1016,เขตบางกอกใหญ่
15,สะพานสูง,35.0,3,20,0,50,สะพานสูง,1044,เขตสะพานสูง
16,พระโขนง,33.0,1,37,3,29,พระโขนง,1009,เขตพระโขนง
16,หนองแขม,33.0,0,50,5,16,หนองแขม,1023,เขตหนองแขม
18,ดินแดง,31.0,2,28,2,34,ดินแดง,1026,เขตดินแดง
18,ตลิ่งชัน,31.0,2,28,2,34,ตลิ่งชัน,1019,เขตตลิ่งชัน
20,ทวีวัฒนา,29.5,0,50,6,9,ทวีวัฒนา,1048,เขตทวีวัฒนา
20,ภาษีเจริญ,29.5,7,9,0,50,ภาษีเจริญ,1022,เขตภาษีเจริญ
20,สวนหลวง,29.5,7,9,0,50,สวนหลวง,1034,เขตสวนหลวง
23,มีนบุรี,28.5,2,28,3,29,มีนบุรี,1010,เขตมีนบุรี
23,ลาดกระบัง,28.5,2,28,3,29,ลาดกระบัง,1011,เขตลาดกระบัง
23,ห้วยขวาง,28.5,2,28,3,29,ห้วยขวาง,1017,เขตห้วยขวาง
26,คลองเตย,27.0,0,50,13,4,คลองเตย,1033,เขตคลองเตย
26,คันนายาว,27.0,3,20,2,34,คันนายาว,1043,เขตคันนายาว
26,สัมพันธวงศ์,27.0,3,20,2,34,สัมพันธวงศ์,1013,เขตสัมพันธวงศ์
29,หลักสี่,26.5,1,37,5,16,หลักสี่,1041,เขตหลักสี่
30,บางนา,25.5,0,50,16,1,บางนา,1047,เขตบางนา
31,บางคอแหลม,24.5,3,20,3,29,บางคอแหลม,1031,เขตบางคอแหลม
31,บางบอน,24.5,2,28,4,21,บางบอน,1050,เขตบางบอน
33,บางซื่อ,24.0,10,3,1,45,บางซื่อ,1029,เขตบางซื่อ
34,สายไหม,23.5,14,2,1,45,สายไหม,1042,เขตสายไหม
35,หนองจอก,23.0,15,1,1,45,หนองจอก,1003,เขตหนองจอก
36,ราชเทวี,22.0,2,28,5,16,ราชเทวี,1037,เขตราชเทวี
37,ดุสิต,21.0,1,37,10,5,ดุสิต,1002,เขตดุสิต
37,สาทร,21.0,1,37,10,5,สาทร,1028,เขตสาทร
39,วัฒนา,19.5,1,37,14,2,วัฒนา,1039,เขตวัฒนา
40,บึงกุ่ม,18.0,4,15,4,21,บึงกุ่ม,1027,เขตบึงกุ่ม
41,ประเวศ,17.0,8,5,3,29,ประเวศ,1032,เขตประเวศ
42,จตุจักร,15.5,4,15,5,16,จตุจักร,1030,เขตจตุจักร
43,บางกะปิ,15.0,7,9,4,21,บางกะปิ,1006,เขตบางกะปิ
44,ทุ่งครุ,14.5,5,13,5,16,ทุ่งครุ,1049,เขตทุ่งครุ
44,วังทองหลาง,14.5,5,13,5,16,วังทองหลาง,1045,เขตวังทองหลาง
46,บางขุนเทียน,13.5,6,11,5,16,บางขุนเทียน,1021,เขตบางขุนเทียน
47,คลองสามวา,13.0,8,5,4,21,คลองสามวา,1046,เขตคลองสามวา
48,บางเขน,12.5,3,20,10,5,บางเขน,1005,เขตบางเขน
49,บางแค,9.5,6,11,7,8,บางแค,1040,เขตบางแค
50,ลาดพร้าว,6.5,7,9,13,4,ลาดพร้าว,1038,เขตลาดพร้าว
